"Id" "date" "ff" "t" "td" "hu" "dd" "precip" "ws_arome" "p3031_arome" "u10_arome" "v10_arome" "t2m_arome" "d2m_arome" "r_arome" "tp_arome" "msl_arome" "rain" "rain_class"
"1" "22092001_527" "2017-06-11" 3.945 289.40875 285.277083333333 78.7833333333333 246.75 0 3.6637846375 244.299499583333 3.03850284583333 1.41635989866667 289.232314583333 285.170885416667 79.0377845833333 2.32827685576 101672.85 0.2 "low_rain"
"2" "22092001_65" "2016-03-06" 3.73958333333333 276.375833333333 273.4225 81.7 260.333333333333 1.2 3.328476 305.660751666667 2.463885825 -1.89897084733333 275.808687916667 273.67259125 86.3315979583333 10.675440718 100583.76 4.2 "high_rain"
"3" "22092001_210" "2016-07-29" 3.27375 288.869166666667 286.723333333333 87.6208333333333 259.041666666667 0.2 3.23237952083333 256.042391666667 2.96387153333333 0.9856267449625 289.627425 286.48512625 82.3010309583333 4.582309222 101482.984 0 "no_rain"
"4" "22092001_136" "2016-05-16" 1.745 284.28875 280.215833333333 76.5875 216.541666666667 0 1.72092555916667 139.297271221667 -0.2606926048125 -1.397602814875 284.726139166667 280.36734 75.3841162916667 0.940253691 102223.586 0 "no_rain"
"5" "22092001_33" "2016-02-03" 5.71875 277.527916666667 274.529166666667 81.3916666666667 285.541666666667 1.6 4.42401225416667 285.5788 3.9400556375 -1.4576057535 277.75169875 274.590655833333 80.4350854583333 13.9030762172 102416.22 0 "no_rain"
"6" "22092001_363" "2016-12-29" 1.75 277.353333333333 275.139583333333 86.2041666666667 140.875 0.2 1.78096476458333 157.831159041667 0.14460321125 0.662099206791667 275.294082083333 273.090981666667 85.258692125 0.205983338 103463.945 0.2 "low_rain"
"8" "22092001_79" "2016-03-20" 7.84125 277.501666666667 274.804583333333 82.6916666666667 47.0833333333333 0 6.04186799166667 47.6648957916667 -4.43896687083333 -4.07309944166667 278.089415833333 275.305084583333 82.4240149583333 0.0306383584 101994.06 0 "no_rain"
"9" "22092001_520" "2017-06-04" 3.25875 284.9925 282.014166666667 82.9666666666667 232.083333333333 6.2 3.19474225833333 233.302734166667 2.46737127291667 1.83627538375 285.514981666667 282.21354125 81.9132312916667 25.90317883 101781.63 16.7 "high_rain"
"10" "22092001_54" "2016-02-24" 4.65041666666667 276.63 276.2725 97.4375 75.5 8.7 3.79630630416667 67.1427121666667 -2.86602175833333 -1.56467415445833 277.1178475 276.596047916667 96.42106375 168.3214107 101090.016 0.2 "low_rain"
"11" "22092001_638" "2017-09-30" 5.28583333333333 285.88375 283.92375 88.4708333333333 214.875 1.6 4.77219009583333 212.003280416667 2.25462274416667 3.99609842916667 285.71798875 283.78408 88.3946145833333 20.4692187892 101589.27 0.2 "low_rain"
"12" "22092001_581" "2017-08-04" 2.9425 289.217916666667 286.432083333333 84.1166666666667 242.541666666667 0 2.92503627916667 246.0838172125 1.972370903125 0.360735935 289.20976875 286.194914583333 82.5967090416667 2.8946935854 101359.484 0.2 "low_rain"
"13" "22092001_233" "2016-08-21" 4.19833333333333 288.517916666667 284.781666666667 79.8791666666666 258.083333333333 0 3.79234972083333 258.172584583333 3.54269311666667 0.565874076666667 288.540831666667 284.55015875 78.236782 1.720271179 101935.81 0.2 "low_rain"
"14" "22092001_12" "2016-01-13" 3.985 276.509166666667 275.385 92.4583333333333 219.291666666667 1.8 3.75207064583333 232.194980416667 2.69228549166667 2.14611364083333 276.62499375 275.291758333333 91.058417375 7.3202410304 101356.42 2.8 "high_rain"
"15" "22092001_684" "2017-11-15" 1.85416666666667 281.239166666667 278.421666666667 82.8791666666667 164.958333333333 0.2 1.45099355083333 181.501997333333 0.0441534069166666 0.738026797666667 280.59740125 278.6585375 87.9055001666667 4.9871636 102464.89 0.2 "low_rain"
"16" "22092001_48" "2016-02-18" 3.73125 276.8775 273.937083333333 82.5666666666666 295.708333333333 3.4 2.9169929 310.236790833333 1.72644858625 -1.75744307583333 276.511494166667 274.33973375 86.623697625 79.0976559 101273.984 1.4 "low_rain"
"17" "22092001_342" "2016-12-08" 5.54833333333333 282.4825 282.023333333333 97.075 190.541666666667 0.2 4.07001363333333 187.492175 0.544589477166667 3.99926624166667 282.399745 282.1227725 98.1683860833333 1.71911727 102743.02 0.4 "low_rain"
"18" "22092001_444" "2017-03-20" 5.73625 282.1275 280.872916666667 91.9708333333333 243.333333333333 2.2 5.31114014583333 233.150690833333 3.923280725 3.2805647475 282.414156666667 280.76329 89.7365504583333 9.136702496 100990.68 0.6 "low_rain"
"19" "22092001_585" "2017-08-08" 3.98625 286.50875 283.185416666667 81.5208333333333 295.875 1.4 3.3324737875 288.018247020833 2.57710227375 -1.69387558825 286.59479 283.697592083333 83.5223547916667 42.99525289 101326.1 6.6 "high_rain"
"20" "22092001_217" "2016-08-05" 3.39625 288.849166666667 285.44625 81.9291666666666 288.916666666667 0 2.74165573333333 276.73794625 2.467432375 -0.37538421875 288.239808333333 284.893547083333 82.0844609583333 1.1831868452 102023.41 0.2 "low_rain"
"21" "22092001_400" "2017-02-04" 4.15333333333333 278.1375 276.923333333333 92.3708333333333 210.75 11.9 3.520278425 228.213881666667 1.429446411875 1.30134662458333 277.97071625 276.085809166667 88.311749125 272.3563372 99222.27 26.8 "high_rain"
"22" "22092001_149" "2016-05-29" 3.8325 286.240416666667 283.717083333333 85.7583333333334 97.75 0.2 3.67666693333333 64.7977947291667 -1.2520354175 -3.2948523875 287.03517625 283.73329125 81.8924262083333 0.2392606985 101063.37 0 "no_rain"
"23" "22092001_489" "2017-05-04" 5.48 282.980833333333 280.962916666667 87.7791666666667 50.4583333333333 0 4.5353590125 52.3326449166667 -3.54851397083333 -2.74320754166667 283.210273333333 280.428360416667 83.510898625 4.720152325 101755.75 0.4 "low_rain"
"24" "22092001_92" "2016-04-02" 4.06958333333333 281.165416666667 275.8625 71.225 175.625 0 3.58329481666667 175.672848333333 -0.347057147291667 3.43210524166667 280.766971666667 277.448528333333 80.624998125 0.275655171 100618.09 2.4 "high_rain"
"26" "22092001_169" "2016-06-18" 3.8225 286.186666666667 283.047083333333 82.0916666666667 313.666666666667 0 3.6131954875 316.11382875 2.47123539583333 -2.59497755833333 286.767572916667 283.599005833333 82.1548495 18.0009737293 101778.164 0.2 "low_rain"
"27" "22092001_236" "2016-08-24" 2.86458333333333 290.440833333333 288.691666666667 90.0916666666667 194.166666666667 2.2 2.73691667833333 235.78310575125 0.240328031958333 -2.341993219 291.10478125 288.186302916667 83.839322625 6.40398776492 101703.93 0.2 "low_rain"
"28" "22092001_170" "2016-06-19" 3.37083333333333 286.715833333333 284.919583333333 89.4375 249.208333333333 0.2 3.085444425 241.988204166667 2.58008959583333 1.50901090833333 286.86815625 284.719922083333 87.312378625 6.6900278689 102423.43 7.2 "high_rain"
"30" "22092001_367" "2017-01-02" 3.68875 276.53125 275.85625 95.4583333333333 106.208333333333 0 2.96908395083333 94.754117375 -1.99259495257083 -0.642512825416667 276.6611125 276.06854125 95.9880470833333 4.421156293 101958.89 0.4 "low_rain"
"31" "22092001_675" "2017-11-06" 2.40458333333333 280.775 277.239583333333 79.3458333333333 257.75 1.2 2.1447173125 271.202842916667 1.46820004333333 0.038996224375 279.66919 276.652900416667 81.5861957916667 0.0290447623 102410.68 3.8 "high_rain"
"32" "22092001_695" "2017-11-26" 3.74666666666667 277.199166666667 275.684583333333 89.9541666666667 269.333333333333 1.4 3.08523753333333 264.97965 3.004972 0.176151787666667 276.955447916667 275.453973333333 90.057065625 25.30542102 102794.32 9.3 "high_rain"
"33" "22092001_715" "2017-12-16" 4.555 277.340416666667 274.094583333333 79.7458333333333 314.125 1.2 3.66502299166667 314.940895 2.25230739416667 -2.4271299025 276.8039425 274.346831666667 84.04071875 26.1368359 101437.33 3 "high_rain"
